Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-5030,1,Buzzer,
C1,0603,1,1uF,
C2,0603,1,100nF,
D1,D_MELF,1,SM4007,
J1,SH1106,1,DISPLAY,
J2,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
Q1,SOT-23,1,BC857,
R1,0603,1,8K2,
R2,0603,1,3K9,
R3,0603,1,20K,
"R4, R5, R6",0603,3,2K,
SW1,SW_SPST_PTS645,1,UP,
SW2,SW_SPST_PTS645,1,DOWN,
SW3,SW_SPST_PTS645,1,RIGHT,
SW4,SW_SPST_PTS645,1,LEFT,
SW5,SW_SPST_PTS645,1,ACT,
SW6,SW_SPDT_PCM12,1,SW_SPDT,
U1,SOP-8_3.9x4.9mm_P1.27mm,1,CH32V003JxMx,
U2,TP4056-Module,1,TP4056,
